# IsPeriodic    : True
# Period        : 0.487099 days
# Normalization : <g_mag>=0
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.344  1.168  0.066 -0.070 -0.093 -0.059 -0.059
 0.346  1.173  0.071 -0.068 -0.090 -0.057 -0.057
 0.348  1.177  0.075 -0.064 -0.088 -0.054 -0.054
 0.350  1.182  0.080 -0.061 -0.085 -0.052 -0.052
 0.352  1.187  0.084 -0.058 -0.082 -0.051 -0.051
 0.354  1.192  0.089 -0.055 -0.080 -0.048 -0.048
 0.356  1.195  0.093 -0.051 -0.076 -0.046 -0.046
 0.358  1.201  0.098 -0.048 -0.073 -0.044 -0.044
 0.360  1.206  0.103 -0.045 -0.071 -0.042 -0.042
 0.362  1.209  0.106 -0.041 -0.068 -0.040 -0.040
 0.364  1.214  0.111 -0.039 -0.065 -0.038 -0.038
 0.366  1.220  0.116 -0.035 -0.062 -0.036 -0.036
 0.368  1.225  0.121 -0.032 -0.060 -0.033 -0.033
 0.370  1.228  0.124 -0.028 -0.057 -0.031 -0.031
 0.372  1.233  0.129 -0.026 -0.054 -0.030 -0.030
 0.374  1.239  0.134 -0.022 -0.052 -0.027 -0.027
 0.376  1.242  0.137 -0.020 -0.049 -0.025 -0.025
 0.378  1.247  0.142 -0.016 -0.046 -0.022 -0.022
 0.380  1.252  0.147 -0.013 -0.044 -0.021 -0.021
 0.382  1.256  0.152 -0.009 -0.041 -0.019 -0.019
 0.384  1.261  0.156 -0.007 -0.039 -0.016 -0.016
 0.386  1.264  0.161 -0.003 -0.036 -0.014 -0.014
 0.388  1.270  0.166 -0.000 -0.033 -0.011 -0.011
 0.390  1.275  0.170  0.003 -0.031 -0.010 -0.010
 0.392  1.278  0.174  0.006 -0.028 -0.007 -0.007
 0.394  1.283  0.179  0.010 -0.026 -0.005 -0.005
 0.396  1.287  0.184  0.012 -0.023 -0.002 -0.002
 0.398  1.292  0.189  0.016 -0.020 -0.001 -0.001
 0.400  1.295  0.192  0.019 -0.018  0.002  0.002
 0.402  1.301  0.197  0.022 -0.015  0.004  0.004
 0.404  1.304  0.202  0.025 -0.013  0.007  0.007
 0.406  1.309  0.207  0.029 -0.010  0.009  0.009
 0.408  1.313  0.212  0.031 -0.008  0.011  0.011
 0.410  1.318  0.215  0.035 -0.005  0.014  0.014
 0.412  1.321  0.220  0.038 -0.003  0.016  0.016
 0.414  1.326  0.225  0.041  0.000  0.019  0.019
 0.416  1.330  0.230  0.044  0.002  0.020  0.020
 0.418  1.335  0.235  0.047  0.005  0.023  0.023
 0.420  1.338  0.238  0.050  0.007  0.026  0.026
 0.422  1.344  0.243  0.053  0.009  0.028  0.028
 0.424  1.347  0.248  0.057  0.012  0.030  0.030
 0.426  1.350  0.253  0.059  0.014  0.033  0.033
