X0             Y0             Theta          X              Y              
35.0000        45.0000        1.5006         35.3519        50.0067        
35.0000        45.0000        1.5481         35.1134        50.0068        
35.0000        45.0000        1.5957         34.8755        50.0067        
35.0000        45.0000        1.6432         34.6370        50.0067        
35.0000        45.0000        1.6907         34.3969        50.0067        
35.0000        45.0000        1.7382         34.1540        50.0067        
35.0000        45.0000        1.7857         33.9072        50.0066        
35.0000        45.0000        1.8332         33.6551        50.0067        
35.0000        45.0000        1.8807         33.3966        50.0066        
35.0000        45.0000        1.9282         33.1301        50.0067        
35.0000        45.0000        1.9758         32.8539        50.0067        
35.0000        45.0000        2.0233         32.5663        50.0067        
35.0000        45.0000        2.0708         32.2649        50.0068        
35.0000        45.0000        2.1183         31.9475        50.0068        
35.0000        45.0000        2.1658         31.6112        50.0070        
35.0000        45.0000        2.2133         31.2524        50.0071        
35.0000        45.0000        2.2608         30.8669        50.0075        
35.0000        45.0000        2.3083         30.4497        50.0081        
35.0000        45.0000        2.3558         29.9893        50.0142        
35.0000        45.0000        2.4034         29.9893        49.5587        
35.0000        45.0000        2.4509         29.9895        49.1410        
35.0000        45.0000        2.4985         29.9896        48.7549        
35.0000        45.0000        2.5460         29.9897        48.3954        
35.0000        45.0000        2.5935         29.9898        48.0584        
35.0000        45.0000        2.6411         29.9899        47.7404        
35.0000        45.0000        2.6886         29.9899        47.4385        
35.0000        45.0000        2.7362         29.9900        47.1503        
35.0000        45.0000        2.7837         29.9901        46.8737        
35.0000        45.0000        2.8312         29.9901        46.6067        
35.0000        45.0000        2.8788         29.9902        46.3478        
35.0000        45.0000        2.9263         29.9902        46.0955        
35.0000        45.0000        2.9739         29.9901        45.8483        
35.0000        45.0000        3.0214         29.9902        45.6051        
35.0000        45.0000        3.0689         29.9902        45.3646        
35.0000        45.0000        3.1165         29.9901        45.1259        
35.0000        55.0000        3.1640         29.9907        54.8879        
35.0000        55.0000        3.2115         29.9908        54.6492        
35.0000        55.0000        3.2590         29.9908        54.4089        
35.0000        55.0000        3.3066         29.9907        54.1659        
35.0000        55.0000        3.3541         29.9906        53.9190        
35.0000        55.0000        3.4017         29.9906        53.6670        
35.0000        55.0000        3.4492         29.9905        53.4085        
35.0000        55.0000        3.4967         29.9904        53.1421        
35.0000        55.0000        3.5443         29.9903        52.8660        
35.0000        55.0000        3.5918         29.9902        52.5786        
35.0000        55.0000        3.6394         29.9902        52.2776        
35.0000        55.0000        3.6869         29.9900        51.9606        
35.0000        55.0000        3.7344         29.9899        51.6248        
35.0000        55.0000        3.7820         29.9897        51.2666        
35.0000        55.0000        3.8295         29.9896        50.8822        
35.0000        55.0000        3.8771         29.9894        50.4664        
35.0000        55.0000        3.9246         29.9898        50.0137        
35.0000        55.0000        3.9723         30.4410        50.0081        
35.0000        55.0000        4.0200         30.8592        50.0075        
35.0000        55.0000        4.0677         31.2458        50.0072        
35.0000        55.0000        4.1153         31.6057        50.0070        
35.0000        55.0000        4.1630         31.9431        50.0070        
35.0000        55.0000        4.2107         32.2614        50.0069        
35.0000        55.0000        4.2584         32.5634        50.0069        
35.0000        55.0000        4.3061         32.8517        50.0068        
35.0000        55.0000        4.3538         33.1284        50.0068        
35.0000        55.0000        4.4015         33.3954        50.0067        
35.0000        55.0000        4.4491         33.6543        50.0068        
35.0000        55.0000        4.4968         33.9067        50.0068        
35.0000        55.0000        4.5445         34.1538        50.0068        
35.0000        55.0000        4.5922         34.3970        50.0068        
35.0000        55.0000        4.6399         34.6373        50.0067        
35.0000        55.0000        4.6876         34.8760        50.0069        
35.0000        55.0000        4.7353         35.1142        50.0068        
35.0000        55.0000        4.7829         35.3529        50.0070        
35.0000        55.0000        4.8306         35.5931        50.0069        
35.0000        55.0000        4.8783         35.8361        50.0070        
35.0000        55.0000        4.9260         36.0831        50.0070        
35.0000        55.0000        4.9737         36.3352        50.0070        
35.0000        55.0000        5.0214         36.5938        50.0071        
35.0000        55.0000        5.0691         36.8604        50.0071        
35.0000        55.0000        5.1167         37.1366        50.0071        
35.0000        55.0000        5.1644         37.4243        50.0072        
35.0000        55.0000        5.2121         37.7257        50.0073        
35.0000        55.0000        5.2598         38.0432        50.0075        
35.0000        55.0000        5.3075         38.3796        50.0076        
35.0000        55.0000        5.3552         38.7385        50.0078        
35.0000        55.0000        5.4029         39.1239        50.0082        
35.0000        55.0000        5.4505         39.5404        50.0089        
35.0000        55.0000        5.4982         39.9891        50.0143        
35.0000        55.0000        -0.7373        39.9903        50.4681        
35.0000        55.0000        -0.6896        39.9905        50.8841        
35.0000        55.0000        -0.6420        39.9906        51.2688        
35.0000        55.0000        -0.5943        39.9908        51.6270        
35.0000        55.0000        -0.5467        39.9911        51.9627        
35.0000        55.0000        -0.4990        39.9912        52.2797        
35.0000        55.0000        -0.4514        39.9912        52.5806        
35.0000        55.0000        -0.4037        39.9914        52.8679        
35.0000        55.0000        -0.3560        39.9915        53.1437        
35.0000        55.0000        -0.3084        39.9915        53.4099        
35.0000        55.0000        -0.2607        39.9916        53.6682        
35.0000        55.0000        -0.2131        39.9918        53.9200        
35.0000        55.0000        -0.1654        39.9918        54.1666        
35.0000        55.0000        -0.1178        39.9917        54.4094        
35.0000        55.0000        -0.0701        39.9918        54.6495        
35.0000        55.0000        -0.0224        39.9919        54.8879        
35.0000        55.0000        0.0252         39.9919        55.1259        
35.0000        55.0000        0.0729         39.9919        55.3644        
35.0000        55.0000        0.1205         39.9921        55.6046        
35.0000        55.0000        0.1682         39.9920        55.8476        
35.0000        55.0000        0.2158         39.9919        56.0945        
35.0000        55.0000        0.2635         39.9920        56.3467        
35.0000        55.0000        0.3111         39.9919        56.6054        
35.0000        55.0000        0.3588         39.9919        56.8722        
35.0000        55.0000        0.4065         39.9919        57.1487        
35.0000        55.0000        0.4541         39.9920        57.4368        
35.0000        55.0000        0.5018         39.9918        57.7386        
35.0000        55.0000        0.5494         39.9918        58.0566        
35.0000        55.0000        0.5971         39.9917        58.3937        
35.0000        55.0000        0.6447         39.9915        58.7534        
35.0000        55.0000        0.6924         39.9915        59.1398        
35.0000        55.0000        0.7401         39.9915        59.5582        
35.0000        55.0000        0.7877         39.9915        60.0146        
35.0000        55.0000        0.8352         39.5327        60.0086        
35.0000        55.0000        0.8828         39.1168        60.0079        
35.0000        55.0000        0.9303         38.7324        60.0075        
35.0000        55.0000        0.9778         38.3745        60.0073        
35.0000        55.0000        1.0253         38.0389        60.0071        
35.0000        55.0000        1.0728         37.7222        60.0070        
35.0000        55.0000        1.1203         37.4214        60.0069        
35.0000        55.0000        1.1679         37.1342        60.0068        
35.0000        55.0000        1.2154         36.8584        60.0068        
35.0000        55.0000        1.2629         36.5922        60.0067        
35.0000        55.0000        1.3104         36.3339        60.0066        
35.0000        55.0000        1.3579         36.0821        60.0066        
35.0000        55.0000        1.4054         35.8355        60.0066        
35.0000        55.0000        1.4530         35.5927        60.0065        
35.0000        55.0000        1.5005         35.3526        60.0065        
35.0000        55.0000        1.5480         35.1141        60.0065        
35.0000        55.0000        1.5955         34.8762        60.0066        
35.0000        55.0000        1.6430         34.6377        60.0064        
35.0000        55.0000        1.6906         34.3976        60.0065        
35.0000        55.0000        1.7381         34.1546        60.0065        
35.0000        55.0000        1.7856         33.9078        60.0065        
35.0000        55.0000        1.8331         33.6558        60.0064        
35.0000        55.0000        1.8806         33.3972        60.0065        
35.0000        55.0000        1.9281         33.1307        60.0065        
35.0000        55.0000        1.9757         32.8545        60.0066        
35.0000        55.0000        2.0232         32.5669        60.0065        
35.0000        55.0000        2.0707         32.2655        60.0066        
35.0000        55.0000        2.1182         31.9481        60.0067        
35.0000        55.0000        2.1657         31.6118        60.0067        
35.0000        55.0000        2.2133         31.2530        60.0070        
35.0000        55.0000        2.2608         30.8676        60.0072        
35.0000        55.0000        2.3083         30.4504        60.0078        
35.0000        55.0000        2.3558         29.9939        60.0120        
35.0000        55.0000        2.4033         29.9899        59.5586        
35.0000        55.0000        2.4509         29.9900        59.1409        
35.0000        55.0000        2.4984         29.9902        58.7548        
35.0000        55.0000        2.5460         29.9902        58.3953        
35.0000        55.0000        2.5935         29.9904        58.0583        
35.0000        55.0000        2.6410         29.9905        57.7403        
35.0000        55.0000        2.6886         29.9905        57.4385        
35.0000        55.0000        2.7361         29.9907        57.1503        
35.0000        55.0000        2.7837         29.9908        56.8737        
35.0000        55.0000        2.8312         29.9906        56.6068        
35.0000        55.0000        2.8787         29.9908        56.3479        
35.0000        55.0000        2.9263         29.9908        56.0955        
35.0000        55.0000        2.9738         29.9908        55.8484        
35.0000        55.0000        3.0214         29.9908        55.6052        
35.0000        55.0000        3.0689         29.9908        55.3648        
35.0000        55.0000        3.1164         29.9908        55.1261        
35.0000        65.0000        3.1641         29.9913        64.8875        
35.0000        65.0000        3.2116         29.9912        64.6488        
35.0000        65.0000        3.2591         29.9913        64.4085        
35.0000        65.0000        3.3067         29.9912        64.1655        
35.0000        65.0000        3.3542         29.9912        63.9186        
35.0000        65.0000        3.4018         29.9912        63.6666        
35.0000        65.0000        3.4493         29.9911        63.4081        
35.0000        65.0000        3.4969         29.9911        63.1417        
35.0000        65.0000        3.5444         29.9910        62.8656        
35.0000        65.0000        3.5919         29.9908        62.5781        
35.0000        65.0000        3.6395         29.9908        62.2771        
35.0000        65.0000        3.6870         29.9907        61.9601        
35.0000        65.0000        3.7346         29.9905        61.6242        
35.0000        65.0000        3.7821         29.9903        61.2660        
35.0000        65.0000        3.8297         29.9902        60.8815        
35.0000        65.0000        3.8772         29.9901        60.4657        
35.0000        65.0000        3.9247         29.9900        60.0144        
35.0000        65.0000        3.9724         30.4423        60.0080        
35.0000        65.0000        4.0201         30.8602        60.0073        
35.0000        65.0000        4.0678         31.2468        60.0070        
35.0000        65.0000        4.1155         31.6066        60.0068        
35.0000        65.0000        4.1632         31.9440        60.0068        
35.0000        65.0000        4.2109         32.2622        60.0067        
35.0000        65.0000        4.2585         32.5642        60.0067        
35.0000        65.0000        4.3062         32.8525        60.0066        
35.0000        65.0000        4.3539         33.1292        60.0066        
35.0000        65.0000        4.4016         33.3962        60.0067        
35.0000        65.0000        4.4493         33.6551        60.0066        
35.0000        65.0000        4.4970         33.9074        60.0066        
35.0000        65.0000        4.5447         34.1545        60.0067        
35.0000        65.0000        4.5923         34.3977        60.0066        
35.0000        65.0000        4.6400         34.6381        60.0067        
35.0000        65.0000        4.6877         34.8768        60.0066        
35.0000        65.0000        4.7354         35.1149        60.0067        
35.0000        65.0000        4.7831         35.3536        60.0067        
35.0000        65.0000        4.8308         35.5939        60.0067        
35.0000        65.0000        4.8785         35.8369        60.0068        
35.0000        65.0000        4.9261         36.0839        60.0067        
35.0000        65.0000        4.9738         36.3360        60.0067        
