u g r i z y
0.25 0.25 0.25 0.25 0.576489638079055 1.8648262912835982
0.25 0.25 0.25 0.25 0.5810607269481415 1.876538427444696
0.25 0.25 0.25 0.25 0.585631815817228 1.8882505636057938
0.25 0.25 0.25 0.25 0.5902029046863144 1.8999626997668915
0.25 0.25 0.25 0.25 0.5947739935554008 1.9116748359279891
0.25 0.25 0.25 0.25 0.5993450824244874 1.9233869720890868
0.25 0.25 0.25 0.25 0.603916171293574 1.9350991082501852
0.25 0.25 0.25 0.25 0.6084872601626605 1.9468112444112828
0.25 0.25 0.25 0.25 0.6130583490317469 1.9585233805723805
0.25 0.25 0.25 0.25 0.6176294379008335 1.9702355167334784
0.25 0.25 0.25 0.25 0.62220052676992 1.981947652894576
0.25 0.25 0.25 0.25 0.6267716156390064 1.9936597890556738
0.25 0.25 0.25 0.25 0.631342704508093 2.005371925216772
0.25 0.25 0.25 0.25 0.6359137933771795 2.0170840613778696
0.25 0.25 0.25 0.25 0.640484882246266 2.0287961975389672
0.25 0.25 0.25 0.25 0.6450559711153525 2.0405083337000653
0.25 0.25 0.25 0.25 0.6496270599844389 2.052220469861163
0.25 0.25 0.25 0.25 0.6541981488535253 2.0639326060222607
0.25 0.25 0.25 0.25 0.658769237722612 2.075644742183359
0.25 0.25 0.25 0.25 0.6633403265916985 2.0873568783444565
0.25 0.25 0.25 0.25 0.667911415460785 2.099069014505554
0.25 0.25 0.25 0.25 0.6724825043298714 2.110781150666652
0.25 0.25 0.25 0.25 0.6770535931989579 2.1224932868277495
0.25 0.25 0.25 0.25 0.6816246820680445 2.134205422988848
0.25 0.25 0.25 0.25 0.686195770937131 2.1459175591499458
0.25 0.25 0.25 0.25 0.6907668598062175 2.1576296953110434
0.25 0.25 0.25 0.25 0.695337948675304 2.169341831472141
0.25 0.25 0.25 0.25 0.6999090375443905 2.1810539676332388
0.25 0.25 0.25 0.25 0.704480126413477 2.1927661037943365
0.25 0.25 0.25 0.25 0.7090512152825637 2.2044782399554346
0.25 0.25 0.25 0.25 0.7136223041516501 2.2161903761165327
0.25 0.25 0.25 0.25 0.7181933930207365 2.2279025122776304
0.25 0.25 0.25 0.25 0.722764481889823 2.239614648438728
0.25 0.25 0.25 0.25 0.7273355707589095 2.251335814603666
0.25 0.25 0.25 0.25 0.731906659627996 2.2631276627500574
0.25 0.25 0.25 0.25 0.7364777484970826 2.2749195108964497
0.25 0.25 0.25 0.25 0.741048837366169 2.286711359042841
0.25 0.25 0.25 0.25 0.7456199262352555 2.298503207189233
0.25 0.25 0.25 0.25 0.7501957064121941 2.3102950553356245
0.25 0.25 0.25 0.25 0.7548790606708597 2.322086903482016
0.25 0.25 0.25 0.25 0.7595624149295254 2.333878751628408
0.25 0.25 0.25 0.25 0.7642457691881911 2.3456705997747997
0.25 0.25 0.25 0.25 0.7689291234468567 2.3574624479211916
0.25 0.25 0.25 0.25 0.7736124777055223 2.369254296067583
0.25 0.25 0.25 0.25 0.778295831964188 2.381046144213975
0.25 0.25 0.25 0.25 0.7829791862228535 2.3928379923603664
0.25 0.25 0.25 0.25 0.7876625404815193 2.4046298405067588
0.25 0.25 0.25 0.25 0.7923458947401849 2.41642168865315
0.25 0.25 0.25 0.25 0.7970292489988504 2.428213536799542
0.25 0.25 0.25 0.25 0.801712603257516 2.4400053849459336
0.25 0.25 0.25 0.25 0.8063959575161816 2.4517972330923254
0.25 0.25 0.25 0.25 0.8110793117748473 2.463589081238717
0.25 0.25 0.25 0.25 0.815762666033513 2.4753809293851092
0.25 0.25 0.25 0.25 0.8204460202921786 2.4871727775315007
0.25 0.25 0.25 0.25 0.8251293745508442 2.4989646256778926
0.25 0.25 0.25 0.25 0.8298127288095098 2.510756473824284
0.25 0.25 0.25 0.25 0.8344960830681754 2.522548321970676
0.25 0.25 0.25 0.25 0.839179437326841 2.5343401701170674
0.25 0.25 0.25 0.25 0.8438627915855067 2.5461320182634597
0.25 0.25 0.25 0.25 0.8485461458441723 2.557923866409851
0.25 0.25 0.25 0.25 0.8532295001028379 2.569715714556243
0.25 0.25 0.25 0.25 0.8579128543615036 2.5815075627026345
0.25 0.25 0.25 0.25 0.8625962086201691 2.593299410849026
0.25 0.25 0.25 0.25 0.8672795628788347 2.605091258995418
0.25 0.25 0.25 0.25 0.8719629171375005 2.6168831071418097
0.25 0.25 0.25 0.25 0.876646271396166 2.6286749552882016
0.25 0.25 0.25 0.25 0.8813296256548316 2.6404668034345935
0.25 0.25 0.25 0.25 0.8860129799134973 2.652258651580985
0.25 0.25 0.25 0.25 0.8906963341721629 2.6640504997273764
0.25 0.25 0.25 0.25 0.8953796884308286 2.6758423478737687
0.25 0.25 0.25 0.25 0.9000630426894942 2.68763419602016
0.25 0.25 0.25 0.25 0.9047463969481598 2.699426044166552
0.25 0.25 0.25 0.25 0.9094297512068255 2.7112178923129435
0.25 0.25 0.25 0.25 0.914113105465491 2.7230097404593354
0.25 0.25 0.25 0.25 0.9187964597241566 2.734801588605727
0.25 0.25 0.25 0.25 0.9234798139828223 2.746593436752119
0.25 0.25 0.25 0.25 0.9281631682414879 2.7584422813350282
0.25 0.25 0.25 0.25 0.9328465225001535 2.7703142810007106
0.25 0.25 0.25 0.25 0.9375298767588192 2.782186280666393
0.25 0.25 0.25 0.25 0.9422132310174847 2.7940582803320755
0.25 0.25 0.25 0.25 0.9468965852761503 2.8059302799977575
0.25 0.25 0.25 0.25 0.9515799395348161 2.8178022796634403
0.25 0.25 0.25 0.25 0.9562632937934816 2.8296742793291227
0.25 0.25 0.25 0.25 0.9609466480521472 2.841546278994805
0.25 0.25 0.25 0.25 0.9656300023108129 2.853418278660487
0.25 0.25 0.25 0.25 0.9703133565694785 2.8652902783261696
0.25 0.25 0.25 0.25 0.9749967108281442 2.8771622779918524
0.25 0.25 0.25 0.25 0.9796800650868098 2.889034277657535
0.25 0.25 0.25 0.25 0.9843634193454754 2.900906277323217
0.25 0.25 0.25 0.25 0.9890467736041411 2.9127782769888992
0.25 0.25 0.25 0.25 0.9937301278628066 2.9246502766545817
0.25 0.25 0.25 0.25 0.9984134821214722 2.936522276320264
0.25 0.25 0.25 0.25 1.003096836380138 2.9483942759859465
0.25 0.25 0.25 0.25 1.0077801906388035 2.960266275651629
0.25 0.25 0.25 0.25 1.0124635448974693 2.9721382753173113
0.25 0.25 0.25 0.25 1.0171468991561348 2.9840102749829938
0.25 0.25 0.25 0.25 1.0218302534148003 2.9958822746486757
0.25 0.25 0.25 0.25 1.026513607673466 3.007754274314358
0.25 0.25 0.25 0.25 1.0311969619321317 3.019626273980041
0.25 0.25 0.25 0.25 1.0358803161907972 3.0314982736457234
0.25 0.25 0.25 0.25 1.0405636704494627 3.0433702733114054
0.25 0.25 0.25 0.25 1.0452470247081285 3.055242272977088
0.25 0.25 0.25 0.25 1.0499303789667942 3.0671142726427703
0.25 0.25 0.25 0.25 1.0546137332254597 3.0789862723084527
0.25 0.25 0.25 0.25 1.0592970874841254 3.090858271974135
0.25 0.25 0.25 0.25 1.063980441742791 3.1027302716398175
0.25 0.25 0.25 0.25 1.0686637960014567 3.1146022713055
0.25 0.25 0.25 0.25 1.0733471502601222 3.1264742709711824
0.25 0.25 0.25 0.25 1.0780305045187877 3.1383462706368643
0.25 0.25 0.25 0.25 1.0827138587774536 3.150218270302547
0.25 0.25 0.25 0.25 1.0873972130361191 3.1620902699682296
0.25 0.25 0.25 0.25 1.0920805672947846 3.173962269633912
0.25 0.25 0.25 0.25 1.0967639215534504 3.185834269299594
0.25 0.25 0.25 0.25 1.1014472758121159 3.1977062689652764
0.25 0.25 0.25 0.25 1.1061306300707816 3.209578268630959
0.25 0.25 0.25 0.25 1.1108139843294473 3.2214502682966417
0.25 0.25 0.25 0.25 1.1154973385881128 3.2333222679623237
0.25 0.25 0.25 0.25 1.1201806928467786 3.245194267628006
